VJGene	WAS9CD8TCM	WAS6CD8TCM	WAS4CD8TCM	WAS8CD8TCM	WAS4CD4TEM	WAS6CD4TEM	WAS8CD4TEM	WAS9CD4TEM
TRBV14|TRBJ2-4	0	0.005	0.0049	0.0013	0	0	0.0027	0.0023
TRBV17|TRBJ2-4	0	0.0008	0.0032	0.002	0.0037	0.0012	0.003	0.0046
TRBV12-1|TRBJ2-2	0	0	0.0016	0.0013	0.0049	0.0037	0.0033	0.0026
TRBV2|TRBJ1-2	0	0.0025	0	0.0047	0	0	0.0003	0.0009
TRBV2|TRBJ1-5	0	0.0017	0.0016	0.0034	0	0	0.0003	0
TRBV2|TRBJ1-4	0	0.0033	0.0016	0.0027	0.0006	0	0.0003	0.0006
TRBV15|TRBJ1-6	0	0.0008	0.0032	0.0013	0.0012	0	0.0006	0.0012
TRBV13-3|TRBJ1-6	0	0.0025	0	0.0013	0.0037	0.0037	0.0018	0.0032
TRBV20|TRBJ1-6	0	0	0	0.0013	0.0012	0	0.0003	0.0003
TRBV20|TRBJ1-7	0	0	0	0.0007	0	0	0	0
TRBV20|TRBJ1-5	0	0	0	0.0007	0.0006	0.0012	0.0009	0
TRBV10|TRBJ1-4	0	0	0	0	0.0006	0	0	0
TRBV14|TRBJ1-7	0	0	0.0016	0	0	0	0	0
TRBV14|TRBJ1-6	0	0	0	0	0.0012	0	0.0006	0.0012
TRBV14|TRBJ1-5	0	0	0	0	0.0012	0	0.0006	0.0006
TRBV19|TRBJ1-2	0	0.0025	0.0016	0.0013	0.0018	0.0037	0.0015	0.0017
TRBV19|TRBJ1-5	0	0.0008	0.0016	0.0027	0.0006	0	0.0003	0.0003
TRBV30|TRBJ2-1	0	0	0.0016	0	0	0	0	0
TRBV29|TRBJ2-2	0	0.0042	0.0016	0.002	0.0031	0.0062	0.0009	0.002
TRBV4-1|TRBJ2-5	0	0.0008	0	0	0	0	0	0
TRBV2|TRBJ1-6	0	0	0	0	0	0	0.0003	0.0003
TRBV26|TRBJ2-2	0	0.0008	0	0.0013	0	0	0.0003	0.0003
TRBV18|TRBJ1-1	0	0	0	0	0	0	0.0003	0
TRBV14|TRBJ1-3	0	0.0017	0	0.0007	0.0006	0.0025	0.0009	0.0006
TRBV4|TRBJ1-4	0	0.0008	0	0.0013	0.0012	0	0.0024	0.0015
TRBV30|TRBJ1-1	0	0	0	0	0	0.0012	0.0003	0
TRBV17|TRBJ1-1	0	0.0017	0	0.0007	0.0018	0.0012	0.0024	0.0029
TRBV30|TRBJ1-3	0	0.0008	0	0	0	0	0	0
TRBV30|TRBJ1-2	0	0.0008	0	0	0	0	0.0006	0
TRBV30|TRBJ1-7	0	0.0008	0	0	0	0	0	0
TRBV28|TRBJ2-1	0	0	0	0	0	0.0012	0	0
TRBV14|TRBJ1-2	0	0	0.0032	0.0007	0.0012	0.0012	0.0006	0.0012
TRBV30|TRBJ2-7	0	0	0	0.0007	0.0012	0.0012	0.0018	0.0009
TRBV23|TRBJ1-5	0	0	0	0	0	0	0	0.0003
TRBV23|TRBJ1-4	0	0	0	0.0007	0	0	0	0
TRBV23|TRBJ1-6	0	0	0.0016	0	0.0012	0	0.0003	0.0003
TRBV13-1|TRBJ1-7	0	0	0.0016	0	0	0	0	0
