VDJGene	WAS9CD8TCM	WAS6CD8TCM	WAS4CD8TCM	WAS8CD8TCM	WAS4CD4TEM	WAS6CD4TEM	WAS8CD4TEM	WAS9CD4TEM
TRBV12-2|TRBD2|TRBJ2-7	0.0024	0.0025	0.0049	0.0087	0.0203	0.0287	0.0207	0.0232
TRBV16|TRBD1|TRBJ2-5	0.0024	0.0025	0	0.0047	0.0031	0.005	0.0048	0.0038
TRBV12-2|TRBD1|TRBJ1-1	0.0024	0.0017	0	0.0013	0.0099	0.005	0.006	0.0075
TRBV12-2|TRBD1|TRBJ2-5	0.0024	0.0017	0.0049	0.0007	0.0055	0.0075	0.0048	0.0044
TRBV23|TRBD1|TRBJ1-1	0.0024	0	0.0016	0.0027	0	0	0.0003	0.0003
TRBV26|TRBD1|TRBJ1-4	0.0024	0.0017	0.0049	0.0013	0	0.0012	0.0009	0
TRBV13-1|TRBD1|TRBJ1-3	0.0024	0.0042	0.013	0.002	0.0006	0.0012	0.0024	0.0026
TRBV13-1|TRBD1|TRBJ2-5	0.0024	0.0058	0.0081	0.004	0.0037	0.0037	0.0033	0.0041
TRBV26|TRBD1|TRBJ2-4	0.0024	0	0	0	0	0.0012	0.0003	0.0003
TRBV26|TRBD1|TRBJ2-7	0.0024	0.0008	0.0016	0.0034	0.0031	0.005	0.0018	0.0023
TRBV3|TRBD2|TRBJ2-1	0.0024	0.0067	0.0032	0.002	0.0074	0.0012	0.0045	0.0058
TRBV3|TRBD2|TRBJ2-4	0.0024	0.0025	0.0032	0.0034	0.0049	0.0062	0.0024	0.0029
TRBV4|TRBD1|TRBJ2-4	0.0024	0.0008	0	0.004	0.0025	0.0075	0.0009	0.0012
TRBV15|TRBD1|TRBJ2-2	0.0024	0.0067	0.0016	0.002	0.0006	0	0.0006	0.0006
TRBV15|TRBD1|TRBJ2-3	0.0024	0.0025	0.0016	0.0047	0.0006	0	0.0021	0.0015
TRBV2|TRBD1|TRBJ2-7	0.0024	0.0008	0.0049	0.0047	0.0006	0.0025	0	0.0003
TRBV17|TRBD1|TRBJ2-7	0.0024	0.0025	0	0.0007	0.0049	0.0075	0.0045	0.0052
TRBV19|TRBD1|TRBJ2-5	0.0024	0.005	0	0.0047	0.0018	0.0025	0.0018	0.0015
TRBV31|TRBD1|TRBJ2-5	0.0016	0.0017	0.0032	0.004	0.0018	0.0012	0.0009	0.0006
TRBV20|TRBD1|TRBJ1-4	0.0016	0.0017	0.0049	0.0007	0	0	0	0.0003
TRBV20|TRBD1|TRBJ2-4	0.0016	0.0017	0.0016	0.0007	0	0	0.0009	0.0003
TRBV20|TRBD1|TRBJ2-5	0.0016	0.0025	0	0.0013	0.0012	0	0.0009	0.0012
TRBV23|TRBD2|TRBJ2-5	0.0016	0	0	0.0027	0	0	0	0.0003
TRBV31|TRBD2|TRBJ2-2	0.0016	0.0017	0.0032	0.0007	0.0025	0	0.0003	0.0012
TRBV31|TRBD2|TRBJ2-4	0.0016	0.0008	0.0032	0.0034	0.0018	0.0025	0.0015	0.0026
TRBV31|TRBD1|TRBJ1-6	0.0016	0.0017	0.0016	0.0013	0.0006	0	0.0003	0.0012
TRBV13-2|TRBD1|TRBJ2-2	0.0016	0	0	0.0027	0	0.0012	0.0006	0.0003
TRBV13-2|TRBD1|TRBJ2-1	0.0016	0.0033	0.0065	0.006	0.0062	0.005	0.0054	0.002
TRBV12-1|TRBD2|TRBJ2-3	0.0016	0.0008	0.0016	0	0.0049	0.0025	0.0063	0.0046
TRBV20|TRBD2|TRBJ2-4	0.0016	0.0017	0	0.0027	0	0.0012	0.0003	0.0006
TRBV12-1|TRBD2|TRBJ2-1	0.0016	0	0.0065	0	0.016	0.0162	0.0171	0.0157
TRBV13-2|TRBD1|TRBJ1-6	0.0016	0.0042	0.0032	0.0027	0.0018	0.0012	0.0021	0.0015
TRBV13-3|TRBD2|TRBJ2-2	0.0016	0.0008	0.0065	0.0007	0.0012	0.0012	0.0018	0.0003
TRBV13-3|TRBD2|TRBJ1-3	0.0016	0	0	0	0	0	0.0006	0.0006
TRBV2|TRBD2|TRBJ2-1	0.0016	0.0017	0	0.0007	0.0006	0.0012	0.0015	0.0026
TRBV14|TRBD2|TRBJ2-7	0.0016	0	0.0065	0.0007	0.0055	0	0.003	0.0038
TRBV3|TRBD1|TRBJ2-1	0.0016	0.0033	0.0016	0.0027	0.0037	0.0037	0.0024	0.0035
TRBV13-2|TRBD2|TRBJ1-3	0.0016	0.0008	0	0	0	0	0	0
TRBV14|TRBD1|TRBJ2-3	0.0016	0	0	0	0.0012	0.0012	0.0015	0.0012
TRBV29|TRBD2|TRBJ2-5	0.0016	0.0008	0.0016	0.0027	0.0006	0.0012	0.0018	0.0017
TRBV29|TRBD2|TRBJ2-1	0.0016	0.0008	0	0	0.0037	0.0037	0.0039	0.0032
TRBV17|TRBD2|TRBJ2-1	0.0016	0.0025	0.0016	0.002	0.0043	0.0087	0.0042	0.0061
TRBV3|TRBD1|TRBJ1-3	0.0016	0	0.0016	0.006	0.0043	0.005	0.0033	0.0026
TRBV3|TRBD1|TRBJ1-5	0.0016	0.0008	0.0016	0.0013	0.0006	0.0012	0.0003	0.0006
TRBV3|TRBD1|TRBJ1-4	0.0016	0.0008	0.0016	0.0034	0.0037	0	0.0027	0.0026
TRBV15|TRBD2|TRBJ2-3	0.0016	0.0033	0.0016	0.002	0.0037	0.0037	0.0048	0.0041
TRBV15|TRBD2|TRBJ2-2	0.0016	0.0033	0.0114	0.002	0.0006	0	0.0009	0.0012
TRBV4|TRBD1|TRBJ2-1	0.0016	0	0	0.002	0.0006	0.0025	0.0018	0.0032
TRBV1|TRBD2|TRBJ1-5	0.0016	0	0	0.0007	0.0012	0	0	0.0003
TRBV4|TRBD1|TRBJ2-5	0.0016	0.0033	0.0016	0.0013	0.0025	0.0012	0.0015	0.0017
TRBV12-2|TRBD2|TRBJ2-5	0.0016	0.0042	0.0065	0.0007	0.0099	0.0087	0.0129	0.009
TRBV12-2|TRBD2|TRBJ2-1	0.0016	0.0033	0.0016	0.0013	0.008	0.0087	0.0099	0.0116
TRBV13-1|TRBD2|TRBJ2-2	0.0016	0.0017	0.0032	0.0013	0.0012	0.0012	0.0024	0.0017
TRBV13-1|TRBD2|TRBJ1-6	0.0016	0	0	0	0	0	0.0003	0
TRBV16|TRBD2|TRBJ2-3	0.0016	0.0033	0.0032	0.002	0.0111	0.0075	0.0063	0.0049
TRBV26|TRBD2|TRBJ2-1	0.0016	0	0.0016	0.0013	0.0006	0	0.0012	0.0006
TRBV16|TRBD1|TRBJ1-5	0.0016	0	0.0016	0.0027	0	0	0.0006	0.0009
TRBV23|TRBD1|TRBJ1-2	0.0016	0	0	0	0	0	0.0003	0
TRBV1|TRBD1|TRBJ2-3	0.0016	0.0083	0.0016	0.0054	0.0055	0.0012	0.0018	0.002
TRBV12-1|TRBD1|TRBJ2-5	0.0016	0.0025	0.0032	0.0007	0.0025	0	0.0027	0.0026
TRBV12-1|TRBD1|TRBJ2-4	0.0016	0.0008	0.0016	0.0007	0.0037	0.0025	0.0027	0.0017
TRBV13-2|TRBD2|TRBJ2-2	0.0016	0.0033	0.0016	0.0047	0.0006	0	0.0012	0.002
TRBV29|TRBD1|TRBJ1-3	0.0016	0.0017	0	0.0007	0	0.0025	0.003	0.0015
TRBV19|TRBD2|TRBJ2-7	0.0016	0.0067	0.0114	0.006	0.0062	0.0025	0.0045	0.0049
TRBV26|TRBD1|TRBJ1-6	0.0016	0	0	0.0007	0	0.0012	0.0009	0
TRBV26|TRBD1|TRBJ1-1	0.0016	0.0008	0.0032	0.0013	0.0006	0.0012	0.0006	0.0003
TRBV13-1|TRBD1|TRBJ1-6	0.0016	0	0	0.0013	0.0062	0	0.0024	0.0032
TRBV13-1|TRBD1|TRBJ2-2	0.0016	0.0042	0.0016	0.0007	0.0018	0.0037	0.0024	0.0015
TRBV4|TRBD2|TRBJ2-3	0.0016	0.0008	0	0.0034	0.0043	0.01	0.0036	0.0035
TRBV4|TRBD2|TRBJ2-7	0.0016	0.0058	0.0032	0.004	0.008	0.005	0.0075	0.0058
TRBV3|TRBD2|TRBJ2-3	0.0016	0.0033	0.0081	0.0047	0.0012	0.0025	0.0024	0.0044
TRBV15|TRBD1|TRBJ2-1	0.0016	0.0058	0	0.0047	0.0012	0.0025	0.0039	0.002
TRBV15|TRBD1|TRBJ2-5	0.0016	0.005	0.0016	0.0027	0.0012	0.0025	0.0018	0.0015
TRBV2|TRBD1|TRBJ1-3	0.0016	0.0008	0	0.0027	0.0006	0	0	0.0003
TRBV2|TRBD1|TRBJ2-1	0.0016	0.0017	0.0016	0.0013	0	0	0.0003	0.0003
TRBV19|TRBD1|TRBJ1-6	0.0016	0.0008	0.0016	0.0047	0.0012	0.0012	0.0012	0.0015
TRBV19|TRBD1|TRBJ2-2	0.0016	0.0008	0.0016	0.002	0	0	0.0009	0.0003
TRBV31|TRBD1|TRBJ2-2	0.0008	0.0008	0.0016	0	0.0006	0	0	0.0003
TRBV20|TRBD1|TRBJ2-3	0.0008	0.0008	0	0.0013	0	0	0.0003	0.0003
TRBV20|TRBD1|TRBJ2-1	0.0008	0	0.0016	0.0027	0.0006	0.0012	0.0003	0.002
